file,reverberation-time
wav/tvisongur_sound_sculpture_iceland_model__stereo__source2domelareceiver3domesibinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source1domefareceiver3domesibinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source1domefareceiver4domedobinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source3domesireceiver2domelabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source5domemireceiver2domelabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source5domemireceiver1domefabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source1domefareceiver5domemibinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source4domedoreceiver1domefabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source1domefareceiver2domelabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source2domelareceiver4domedobinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source4domedoreceiver2domelabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source3domesireceiver5domemibinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source3domesireceiver4domedobinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source5domemireceiver4domedobinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source5domemireceiver3domesibinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source2domelareceiver1domefabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source3domesireceiver1domefabinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source4domedoreceiver5domemibinaural.wav,1.93
wav/tvisongur_sound_sculpture_iceland_model__stereo__source2domelareceiver5domemibinaural.wav,1.93
wav/falkland_palace_bottle_dungeon__b-format__bottledungeon1_sf_edited.wav,1.6
wav/st_andrews_church__stereo__lyd3_000_ortf_48k.wav,1.22
wav/tyndall_bruce_monument__stereo__tyndall_bruce_ortf.wav,1.74
wav/falkland_palace_royal_tennis_court__stereo__falkland_tennis_court_ortf.wav,6.41
wav/lady_chapel_st_albans_cathedral__stereo__stalbans_b_ortf.wav,2.49
wav/lady_chapel_st_albans_cathedral__stereo__stalbans_b_binaural.wav,2.49
wav/lady_chapel_st_albans_cathedral__stereo__stalbans_a_binaural.wav,2.49
wav/lady_chapel_st_albans_cathedral__stereo__stalbans_a_ortf.wav,2.49
wav/st_georges_episcopal_church__stereo__st_georges_far.wav,2.58
wav/st_georges_episcopal_church__stereo__st_georges_close.wav,2.58
wav/st_georges_episcopal_church__stereo__st_georges_medium.wav,2.58
wav/usina_del_arte_symphony_hall__stereo__usina_main_s1_p4.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s1_p1.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s1_p5.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s2_p3.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s2_p1.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s1_p3.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s1_p2.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s2_p5.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s2_p2.wav,2.08
wav/usina_del_arte_symphony_hall__stereo__usina_main_s2_p4.wav,2.08
